Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\imtrippin-01-30-2017-empyrean-workshop-and-more\pkt_2017-1-30_1485816790_log.pcap

Partial Exports - Missing appraisal info:
AB72E660:Sack
ABB86E51:Basket
BFC196F8:Salvage (100)
AEA5AE55:Salvage (100)
AA83348C:Pack
ABDA509D:Salvage (100)
BF50BB45:Salvage (100)
AA8B2906:Pack
BF60978A:Salvage (100)
C00D5507:Salvage (100)
BFE03EE8:Pack
ABABB483:Salvage (100)
BFE58187:Salvage (100)
BFE03FE6:Pack
BFD1CD61:Salvage (100)
AB7AB002:Salvage (100)
BFDAECA9:Pack
ABBDEBA7:Salvage (100)
ABC1F447:Salvage (100)
ABB680A0:Salvage (100)
ABD72C6C:Salvage (100)
ABBDECAB:Salvage (100)
ABBF2995:Salvage (100)
AB4C846A:Salvage (100)
AB822415:Salvage (100)
AB90D49A:Salvage (100)
BFCBDFB1:Salvage (100)
C00B13C8:Salvage (100)
BF0FAEAA:Salvage (100)
AB3E114B:Salvage (100)
C0626961:Salvage (100)
AE13E9B9:Salvage (100)
AC373572:Salvage (100)
AC3FB1AD:Salvage (100)
AE1510E2:Salvage (100)
AC2B5521:Salvage (100)
ABD28CD8:Salvage (100)
AB765081:Salvage (100)
AAC8F178:Salvage (100)
ABDA56B3:Salvage (100)
ABB0BE95:Salvage (100)
BED52A62:Salvage (100)
BF8B5982:Salvage (100)
C06EC422:Salvage (100)
C024FAFA:Salvage (100)
C0641506:Salvage (100)
BFE15020:Salvage (100)
BEFE98A0:Salvage (100)
BE745F7A:Salvage (100)
C01056EB:Salvage (100)
BE7CA785:Salvage (100)
C01917C2:Salvage (100)
C004C671:Salvage (100)
C007F675:Salvage (100)
C00FD03F:Salvage (100)
BF16EB4E:Salvage (100)
BF12C488:Salvage (100)
BF024FA3:Salvage (100)
BEFD01A8:Salvage (100)
AECCB7C2:Salvage (100)
AEF035C5:Salvage (100)
BE7C97DB:Salvage (100)
