Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\Heero-Yuy13117\pkt_2017-1-30_1485843152_log.pcap

Partial Exports - Missing appraisal info:
81ACAF3C:Pack
B3B358CB:Salvage (7)
B2B04FA2:Salvage (100)
B38192A0:Pack
81ACB14E:Salvage (100)
B4D51BF0:Salvage (100)
B37D3EFB:Pack
B3B360CC:Salvage (100)
81B0B306:Salvage (100)
B36FFA51:Pack
B569DD42:Salvage (100)
B56BBE28:Salvage (100)
81ACB027:Undead Guise
B51DBDC0:Salvage (100)
B56876F9:Salvage (100)
B274B2AC:Pack
B56AAA11:Salvage (100)
B5109E10:Salvage (100)
B27CFB20:Pack
B4ACAAE6:Salvage (100)
B56BF052:Salvage (100)
B27D8318:Pathwarden Supply Key
B443F138:Salvage (100)
B27D7247:Salvage (100)
B28CD3E8:Pack
B28CD668:Salvage (100)
B28C2ED5:Salvage (100)
B27633AA:Salvage (100)
B2829163:Salvage (100)
81A8F1FB:Salvage (100)
81ACB16C:Salvage (100)
B3B358ED:Salvage (100)
B3B35920:Salvage (100)
B3BBDB45:Salvage (100)
B3B358EC:Salvage (100)
B3B35952:Salvage (100)
B3B3594D:Salvage (100)
B3B35946:Salvage (100)
B3B358F7:Salvage (100)
B3B35916:Salvage (100)
B3837EC6:Salvage (100)
B3B3593C:Salvage (100)
B3B358D4:Salvage (100)
B3B358DF:Salvage (100)
B3B35932:Salvage (100)
B3B35915:Salvage (100)
B3B35928:Salvage (100)
B3B36119:Salvage (100)
B56AA2E9:Salvage (100)
B56919B6:Salvage (100)
B51BBFB9:Salvage (100)
B53076AF:Salvage (100)
B3E5DB31:Salvage (100)
B57F7D07:Salvage (100)
B3AE6F07:Salvage (100)
B3AE6F26:Salvage (100)
B3AE65D3:Salvage (100)
B3AE6A2F:Salvage (100)
B3AE6E31:Salvage (100)
B3AE6C27:Salvage (100)
B37DEB93:Salvage (100)
B397BDA6:Salvage (100)
B37D864C:Salvage (100)
