Source: 
C:\ACEmulator\Logs Unpacked\02-09-2017\Callaway-1-17-29-2017-Misc2\pkt_2017-1-18_1484772249_log.pcap

Partial Exports - Missing appraisal info:
B3D7B7BF:Salvage (100)
B408C4B7:Salvage (100)
B3852494:Ust
B408C4DD:Salvage (100)
B3E3E52A:Salvage (100)
B3E276DE:Calling Stone
B38437A6:Salvage (100)
B37D7634:Salvage (100)
B385D584:Prismatic Taper
B3F00FB7:Salvage (100)
B409186D:Salvage (100)
B3F433D4:Salvage (100)
B3BCAFC8:Salvage (100)
B3D7B600:Salvage (100)
B407C640:Salvage (100)
B3F0327F:Salvage (100)
B3D406E6:Salvage (100)
B3BCC5BA:Salvage (100)
B3858881:Salvage (100)
B37D07E4:Salvage (100)
B3EC4E8D:Salvage (100)
B3BCAF2B:Pathwarden Token
B379D491:Blackmoor's Favor
B389F4EE:Oil of Rendering
B3D02395:Oil of Rendering
B37B2161:Salvage (60)
B3D80B9B:Salvage (45)
B4091862:Salvage (56)
B408A07D:Salvage (84)
B3EA3CD1:Salvage (89)
B3852ABC:Salvage (30)
B37BD135:Salvage (67)
B409182E:Salvage (43)
B408C4D5:Salvage (86)
B408C48C:Salvage (93)
B408C3CA:Salvage (35)
B408C4C2:Salvage (63)
B408C4A5:Acid Dabus
B40916F9:Salvage (100)
B3D7B784:Salvage (100)
B3A7FE20:Mana Forge Key
B4086E0C:Salvage (100)
B37CC9E6:Salvage (100)
B385C5AE:Mana Forge Key
B4091766:Salvage (100)
B4091854:Salvage (100)
B3899ACB:Salvage (100)
B37B113A:Salvage (100)
B36FE404:Stipend
B3BC78CE:Salvage (100)
B371B153:Salvage (100)
B409187B:Salvage (100)
B3206013:Salvage (100)
B36F81D6:Salvage (100)
B3AE1C5C:Salvage (100)
B3AE1EE2:Salvage (100)
B409186B:Salvage (100)
B3D81043:Salvage (100)
B3B359C0:Salvage (100)
B4091879:Salvage (100)
B4091836:Salvage (100)
B384C419:Salvage (100)
