Source: 
C:\ACEmulator\Logs Unpacked\01-31-2017\Granis-2017-01-31_last_hours\pkt_2017-1-31_1485878354_log.pcap

Partial Exports - Missing appraisal info:
AF721C2D:Shirt
AF721C2E:Pants
AF721C2F:Faran Robe with Hood
AF721C30:Pyreal Bar
AF721D2A:Pack Asheron
AF721C31:Pyreal Bar
AF721C32:Pyreal Bar
AF721C33:Pyreal Bar
AF721C34:Pyreal Bar
AF721C35:Pyreal Bar
AF721C36:Pyreal Bar
AF721C37:Pyreal Bar
AF721C38:Pyreal Bar
AF721C39:Pyreal Bar
AF721C3A:Pyreal Bar
AF721C3B:Pyreal Bar
AF721C3C:Pyreal Bar
AF721C3D:Pyreal Bar
AF721C3E:Pyreal Bar
AF721C3F:Pyreal Bar
AF721C40:Pyreal Bar
AF721C41:Pyreal Bar
AF721C42:Pyreal Bar
AF721C43:Pyreal Bar
AF721C44:Pyreal Bar
AF721C45:Pyreal Bar
AF721C46:Pyreal Bar
AF721C47:Pyreal Bar
AF721C48:Pyreal Bar
AF721C49:Pyreal Bar
AF721C4A:Pyreal Bar
AF721C4B:Pyreal Bar
AF721C4C:Pyreal Bar
AF721C4D:Pyreal Bar
AF721C4E:Pyreal Bar
AF721C4F:Pyreal Bar
AF721C50:Pyreal Bar
AF721C51:Pyreal Bar
AF721C52:Pyreal Bar
AF721C53:Pyreal Bar
AF721C54:Pyreal Bar
AF721C55:Pyreal Bar
AF721C56:Pyreal Bar
AF721C57:Pyreal Bar
AF721C58:Pyreal Bar
AF721C59:Pyreal Bar
AF721C5A:Pyreal Bar
AF721C5B:Pyreal Bar
AF721C5C:Pyreal Bar
AF721C5D:Pyreal Bar
AF721C5E:Pyreal Bar
AF721C5F:Pyreal Bar
AF721C60:Pyreal Bar
AF721C61:Pyreal Bar
AF721C62:Pyreal Bar
AF721C63:Pyreal Bar
AF721C64:Pyreal Bar
AF721C65:Pyreal Bar
AF721C66:Pyreal Bar
AF721C67:Pyreal Bar
