Source: 
C:\ACEmulator\Logs Unpacked\02-01-2017\Fenn-pcap1\pkt_2017-1-29_1485721132_log.pcap

Partial Exports - Missing appraisal info:
8602DB59:Salvage (100)
8602DE91:Salvage (100)
8602DB3F:Salvage (100)
860157E3:Salvage (100)
8600E4F4:Salvage (100)
86015399:Salvage (100)
860249CF:Salvage (100)
860157EE:Salvage (100)
8602DED3:Salvage (100)
8602DE66:Salvage (100)
8602DE36:Salvage (100)
8602DE51:Salvage (100)
8602DCF1:Salvage (100)
8602CF11:Salvage (100)
8602DED4:Salvage (100)
8602CF20:Salvage (100)
8602DBC3:Salvage (100)
8602DC4F:Salvage (100)
8602DAB4:Salvage (100)
85FA8B4D:Foolproof Peridot
8602DD34:Salvage
8602DD31:Foolproof Jet
8602E07D:Salvage
8602DD0F:Salvage
8602DECC:Salvage (100)
8602DE90:Salvage (100)
8602DE9D:Salvage (100)
8602D9D2:Salvage (100)
85FE2114:Salvage (100)
8602DE4D:Salvage (100)
8602DE46:Salvage (100)
8602DE88:Salvage (100)
8602DE98:Salvage (100)
8602DE5E:Salvage (100)
8602DB7D:Salvage (100)
8602D302:Salvage (100)
8602DE99:Salvage (100)
8602DBBF:Salvage (100)
8602DE77:Salvage (100)
8602DE12:Salvage (100)
8602DBC7:Salvage (100)
8574DCD6:Salvage (100)
8602DEA3:Salvage (100)
8602D77B:Salvage (100)
8602DBCF:Salvage (100)
85FF3CEA:Salvage (100)
8602D139:Salvage (100)
85FAF533:Salvage (100)
85FF34FD:Salvage (100)
8602DF0A:Salvage (100)
86015385:Salvage (100)
8602DE65:Salvage (100)
8602DE01:Salvage (100)
8602DE7B:Salvage (100)
8602DE31:Salvage (100)
860213BC:Salvage (100)
8602DBFB:Salvage (100)
8602DDF8:Salvage (100)
8602DCB5:Salvage (100)
8602DBC4:Salvage (100)
8602DBCC:Salvage (100)
8602DBB4:Salvage (100)
8602DD88:Salvage (100)
8601347F:Salvage (100)
8602DEDC:Salvage (100)
